entidad,relacion,objetos,pregunta,respuestas,obtenido_de
José Mario Ruiz Navas,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mario Ruiz Navas?,"['sacerdote católico', 'obispo católico']","['ecuador', 'ecuador']"
José Marmolejo,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Marmolejo?,['futbolista'],['panama']
José Martínez,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Martínez?,['beisbolista'],['republica_dominicana']
José María Agüero,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Agüero?,['futbolista'],['costa_rica']
José María Alemán,Ocupación,"['escritor', 'poeta', 'político', 'periodista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Alemán?,"['escritor', 'poeta', 'político', 'periodista']","['panama', 'panama', 'panama', 'panama']"
José María Alfaro Zamora,Ocupación,"['juez', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Alfaro Zamora?,"['juez', 'político']","['costa_rica', 'costa_rica']"
José María Arguedas,Ocupación,"['poeta', 'político', 'traductor', 'etnólogo', 'profesor universitario', 'periodista', 'antropólogo', 'novelista', 'indigenista', 'ensayista', 'escritor de cuentos']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Arguedas?,"['poeta', 'político', 'traductor', 'etnólogo', 'profesor universitario', 'periodista', 'antropólogo', 'novelista', 'indigenista', 'ensayista', 'escritor de cuentos']","['peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru', 'peru']"
José María Avilés,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Avilés?,['político'],['ecuador']
José María Benítez,Ocupación,"['médico', 'botánico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Benítez?,"['médico', 'botánico']","['venezuela', 'venezuela']"
José María Bonilla,Ocupación,"['escritor', 'poeta']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Bonilla?,"['escritor', 'poeta']","['guatemala', 'guatemala']"
José María Campo Serrano,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Campo Serrano?,"['abogado', 'político']","['colombia', 'colombia']"
José María Caro Rodríguez,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Caro Rodríguez?,"['sacerdote católico', 'obispo católico']","['chile', 'chile']"
José María Castro Madriz,Ocupación,"['juez', 'abogado', 'político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Castro Madriz?,"['juez', 'abogado', 'político', 'diplomático']","['costa_rica', 'costa_rica', 'costa_rica', 'costa_rica']"
José María Cofiño Valladares,Ocupación,['empresario'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Cofiño Valladares?,['empresario'],['guatemala']
José María Cornejo,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Cornejo?,['político'],['el_salvador']
José María Estrada,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Estrada?,['político'],['nicaragua']
José María Guerrero,Ocupación,"['futbolista', 'abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Guerrero?,"['futbolista', 'abogado', 'político']","['ecuador', 'nicaragua', 'nicaragua']"
José María Hernández Espaillat,Ocupación,"['político', 'emprendedor', 'profesor universitario']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Hernández Espaillat?,"['político', 'emprendedor', 'profesor universitario']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José María Lemus,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Lemus?,['político'],['el_salvador']
José María López,Ocupación,['piloto de automovilismo'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María López?,['piloto de automovilismo'],['argentina']
José María Martínez Salinas,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Martínez Salinas?,['político'],['honduras']
José María Medina,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Medina?,['político'],['honduras']
José María Méndez Calderón,Ocupación,"['escritor', 'abogado']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Méndez Calderón?,"['escritor', 'abogado']","['el_salvador', 'el_salvador']"
José María Ortega Trinidad,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Ortega Trinidad?,"['sacerdote católico', 'obispo católico']","['peru', 'peru']"
José María Peralta Lagos,Ocupación,"['escritor', 'ingeniero', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Peralta Lagos?,"['escritor', 'ingeniero', 'político']","['el_salvador', 'el_salvador', 'el_salvador']"
José María Peralta,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Peralta?,['político'],['el_salvador']
José María Pinaud,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Pinaud?,['político'],['costa_rica']
José María Pinilla,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Pinilla?,['político'],['panama']
José María Plácido Caamaño,Ocupación,"['abogado', 'político', 'terrateniente']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Plácido Caamaño?,"['abogado', 'político', 'terrateniente']","['ecuador', 'ecuador', 'ecuador']"
José María Reyes Mata,Ocupación,"['médico', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Reyes Mata?,"['médico', 'político']","['honduras', 'honduras']"
José María Rivas,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Rivas?,['futbolista'],['el_salvador']
José María Ruda,Ocupación,"['juez', 'abogado', 'jurista', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Ruda?,"['juez', 'abogado', 'jurista', 'diplomático']","['argentina', 'argentina', 'argentina', 'argentina']"
José María Serra de Castro,Ocupación,['periodista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Serra de Castro?,['periodista'],['republica_dominicana']
José María Silva,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Silva?,['político'],['el_salvador']
José María Tojeira,Ocupación,['sacerdote católico'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Tojeira?,['sacerdote católico'],['el_salvador']
José María Urbina y Viteri,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Urbina y Viteri?,['político'],['ecuador']
José María Vallejo García-Hevia,Ocupación,"['abogado', 'jurista', 'historiador del derecho']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Vallejo García-Hevia?,"['abogado', 'jurista', 'historiador del derecho']","['guatemala', 'guatemala', 'guatemala']"
José María Vallé,Ocupación,['militar'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Vallé?,['militar'],['nicaragua']
José María Vargas Vila,Ocupación,"['escritor', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Vargas Vila?,"['escritor', 'diplomático']","['colombia', 'colombia']"
José María Velasco Ibarra,Ocupación,"['presidente', 'político', 'catedrático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Velasco Ibarra?,"['presidente', 'político', 'catedrático']","['ecuador', 'ecuador', 'ecuador']"
José María Zelaya,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Zelaya?,['político'],['nicaragua']
José María Zeledón Brenes,Ocupación,"['escritor', 'político', 'periodista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María Zeledón Brenes?,"['escritor', 'político', 'periodista']","['costa_rica', 'costa_rica', 'costa_rica']"
José María de Peralta y La Vega,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José María de Peralta y La Vega?,['político'],['costa_rica']
José Mata Gavidia,Ocupación,"['escritor', 'historiador']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mata Gavidia?,"['escritor', 'historiador']","['guatemala', 'guatemala']"
José Matos,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Matos?,['futbolista'],['panama']
José Matías Delgado,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Matías Delgado?,['político'],['el_salvador']
José Matías Hernández García,Ocupación,['militar'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Matías Hernández García?,['militar'],['honduras']
José Maza Fernández,Ocupación,"['abogado', 'político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Maza Fernández?,"['abogado', 'político', 'diplomático']","['chile', 'chile', 'chile']"
José Mejía Vides,Ocupación,['escultor'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mejía Vides?,['escultor'],['el_salvador']
José Mendoza Posas,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mendoza Posas?,"['entrenador', 'futbolista']","['honduras', 'honduras']"
José Merino del Río,Ocupación,"['político', 'autor', 'politólogo', 'periodista', 'sociólogo']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Merino del Río?,"['político', 'autor', 'politólogo', 'periodista', 'sociólogo']","['costa_rica', 'costa_rica', 'costa_rica', 'costa_rica', 'costa_rica']"
José Mesa,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mesa?,['beisbolista'],['republica_dominicana']
José Miguel Alcantara Almanzar,Ocupación,"['escritor', 'profesor universitario', 'crítico literario']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miguel Alcantara Almanzar?,"['escritor', 'profesor universitario', 'crítico literario']","['republica_dominicana', 'republica_dominicana', 'republica_dominicana']"
José Miguel Alemán,Ocupación,['diplomático'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miguel Alemán?,['diplomático'],['panama']
José Miguel Carrera,Ocupación,"['militar', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miguel Carrera?,"['militar', 'político']","['chile', 'chile']"
José Miguel Cubero,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miguel Cubero?,['futbolista'],['costa_rica']
José Miguel Álvarez,Ocupación,['baloncestista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miguel Álvarez?,['baloncestista'],['cuba']
José Milla y Vidaurre,Ocupación,"['escritor', 'político', 'diplomático', 'novelista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Milla y Vidaurre?,"['escritor', 'político', 'diplomático', 'novelista']","['mexico', 'mexico', 'mexico', 'mexico']"
José Miracca,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miracca?,"['entrenador', 'futbolista']","['paraguay', 'paraguay']"
José Miró Cardona,Ocupación,"['abogado', 'político', 'diplomático', 'profesor universitario']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Miró Cardona?,"['abogado', 'político', 'diplomático', 'profesor universitario']","['cuba', 'cuba', 'cuba', 'cuba']"
José Monteagudo,Ocupación,"['militar', 'revolucionario']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Monteagudo?,"['militar', 'revolucionario']","['cuba', 'cuba']"
José Montiel,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Montiel?,['futbolista'],['paraguay']
José Mora,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Mora?,['futbolista'],['ecuador']
José Morbán,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Morbán?,['beisbolista'],['republica_dominicana']
José Morillo,Ocupación,['pintor'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Morillo?,['pintor'],['republica_dominicana']
José Natividad González Parás,Ocupación,['político'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Natividad González Parás?,['político'],['mexico']
José Nicolás Irías Midence,Ocupación,['sacerdote'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Nicolás Irías Midence?,['sacerdote'],['honduras']
José Néstor Pékerman,Ocupación,"['entrenador', 'futbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Néstor Pékerman?,"['entrenador', 'futbolista']","['argentina', 'argentina']"
José Núñez,Ocupación,"['médico', 'político', 'profesor universitario', 'beisbolista']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Núñez?,"['médico', 'político', 'profesor universitario', 'beisbolista']","['nicaragua', 'nicaragua', 'nicaragua', 'republica_dominicana']"
José Offerman,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Offerman?,['beisbolista'],['republica_dominicana']
José Orlando Alvarado,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Orlando Alvarado?,['futbolista'],['guatemala']
José Ortiz,Ocupación,['beisbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Ortiz?,['beisbolista'],['republica_dominicana']
José Oscar Barahona Castillo,Ocupación,"['sacerdote católico', 'obispo católico']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Oscar Barahona Castillo?,"['sacerdote católico', 'obispo católico']","['el_salvador', 'el_salvador']"
José P. Tamborini,Ocupación,"['médico', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José P. Tamborini?,"['médico', 'político']","['panama', 'panama']"
José Pablo Córdoba,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Pablo Córdoba?,['futbolista'],['costa_rica']
José Pabón,Ocupación,['futbolista'],Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Pabón?,['futbolista'],['ecuador']
José Pallais,Ocupación,"['abogado', 'político']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Pallais?,"['abogado', 'político']","['nicaragua', 'nicaragua']"
José Pardo y Barreda,Ocupación,"['abogado', 'político', 'diplomático']",Contesta la siguiente pregunta: ¿Cuál es la ocupación de José Pardo y Barreda?,"['abogado', 'político', 'diplomático']","['peru', 'peru', 'peru']"
